Site,Year,TotalPAR_mean,TotalPAR_SE,Month,monthname
LTER 1,2007,25.032915834562164,2.1784973743574456,1,January
LTER 1,2008,28.58075177714885,2.217053208852122,6,June
LTER 1,2009,36.36900018950088,3.3950056670632094,1,January
LTER 1,2009,30.968102738156425,0.9251085647462373,6,June
LTER 1,2010,24.851020532564014,2.609382024713873,1,January
LTER 1,2011,22.09677476862298,1.2889031038143028,6,June
LTER 1,2012,37.881643875232406,0.41574629035111255,1,January
LTER 1,2012,24.260750770865805,1.028652267296685,6,June
LTER 1,2013,28.765655420665173,0.2969764161284254,6,June
LTER 1,2014,44.55023780969823,1.184259549265695,1,January
LTER 1,2014,28.630753774120173,0.9898765510844021,6,June
LTER 1,2015,21.821434549147238,1.8566114561822575,1,January
LTER 1,2015,27.678827298080233,0.36472824249667857,6,June
LTER 1,2016,16.025525888363497,1.4332055958036987,6,June
LTER 1,2017,26.557947879521063,1.4680471929913326,1,January
LTER 1,2019,27.936317590359064,1.772646052289749,1,January
LTER 1,2019,20.751751565672052,1.2548019991408006,6,June
LTER 1,2020,26.224864786547077,1.7624204366884053,1,January
LTER 1,2021,11.808712444908922,1.1460327067256666,6,June
LTER 1,2022,28.227853745896688,0.10545239127497735,1,January
LTER 1,2022,17.775356776427813,0.1658007103178703,6,June
LTER 1,2023,12.109661899299466,1.4366421863639431,1,January
LTER 1,2023,13.516667026159586,0.5370175246529426,6,June
LTER 1,2024,19.88161532929829,0.7471714808070022,1,January
LTER 1,2024,12.7648653678654,0.1896042890525402,6,June
LTER 2,2009,46.59332916258646,4.237113876816729,1,January
LTER 2,2009,33.67556806175706,0.9253912700868764,6,June
LTER 2,2010,34.114351111593194,2.8774229506037705,1,January
LTER 2,2011,28.769065193578,1.1772920516523604,6,June
LTER 2,2012,23.7226746762025,0.9184911144656684,6,June
LTER 2,2013,23.671269748000917,1.9840920288217376,1,January
LTER 2,2013,33.63405126658634,0.5123790941771834,6,June
LTER 2,2014,41.2531034987821,0.9001766727188325,1,January
LTER 2,2014,30.43346231596039,0.49617696284403545,6,June
LTER 2,2015,47.285212276049826,5.4118134964535685,1,January
LTER 2,2015,25.763418792509672,0.5840901262778327,6,June
LTER 2,2016,24.18610767674873,1.8856273689539171,6,June
LTER 2,2019,44.49814686286299,0.9886056841623935,1,January
LTER 2,2020,33.582380176362946,0.7492742645579776,1,January
LTER 2,2021,15.63776185114784,0.2982569703045214,6,June
LTER 2,2022,28.227853745896688,0.10545239127497735,1,January
LTER 2,2022,17.775356776427813,0.1658007103178703,6,June
LTER 2,2023,13.349038930472362,0.2374880346409708,6,June
