Year,mean_biomass,se_biomass
2006,11527.25,4688.344784365088
2007,9711.1175,3340.611002809155
2008,6926.126666666666,4511.061174495912
2009,9948.3425,4460.27928743514
2010,4973.0025,1092.9340536706304
2011,4422.0425000000005,1516.892397702042
2012,8130.5625,1815.5773886350635
2013,5951.295,810.9359922593563
2014,9068.475,1244.021991636402
2015,13684.966666666667,2751.429336316753
2016,10662.7825,3783.784983917944
2017,7638.4349999999995,1110.6606038487485
2018,10495.026666666667,2019.2514154287749
2019,7200.8075,1252.6746457305865
2020,8287.7775,383.792449147865
2021,9754.817500000001,1597.4664409327195
2022,7962.86,1522.0359025824587
2023,7547.639999999999,1200.3693602804096
